548 ,Ready to move,2 - 3 years old,"6,197 ",33.96 L,"Ambernath West, Mumbai",2 BHK Apartment in Wadhwa Daisy Gardens
635 ,Ready to move,2 - 3 years old,"5,929 ",37.65 L,"Ambernath West, Mumbai",2 BHK Apartment in Wadhwa Daisy Gardens
489 ,Ready to move,2 - 3 years old,"5,910 ",28.9 L,"Ambernath West, Mumbai",1 BHK Apartment in Wadhwa Daisy Gardens
632 ,Ready to move,2 - 3 years old,"5,927 ",37.45 L,"Ambernath West, Mumbai",2 BHK Apartment in Wadhwa Daisy Gardens
739 ,Under Construction,Possession by Nov 2020,"19,500 ",1.44 Cr,"Kurla, Mumbai",2 BHK Apartment in Raghav ONE
697 ,Under Construction,Possession by Nov 2020,"19,500 ",1.35 Cr,"Kurla, Mumbai",2 BHK Apartment in Raghav ONE
760 ,Under Construction,Possession by Nov 2020,"19,500 ",1.48 Cr,"Kurla, Mumbai",2 BHK Apartment in Raghav ONE
329 ,Under Construction,Possession by Nov 2022,"5,809 ",19.05 L,"Neral, Mumbai",2 BHK Apartment in Gruharaj Royal Regalia
570 ,Under Construction,Possession by Nov 2022,"5,802 ",33.07 L,"Neral, Mumbai",2 BHK Apartment in Gruharaj Royal Regalia
404 ,Under Construction,Possession by Nov 2022,"5,809 ",23.41 L,"Neral, Mumbai",2 BHK Apartment in Gruharaj Royal Regalia
 , ,, ,  ,,
298 ,Under Construction,Possession by Nov 2022,"5,803 ",17.29 L,"Neral, Mumbai",1 BHK Apartment in Gruharaj Royal Regalia
332 ,Under Construction,Possession by Nov 2022,"5,812 ",19.24 L,"Neral, Mumbai",2 BHK Apartment in Gruharaj Royal Regalia
381 ,Under Construction,Possession by Nov 2022,"5,809 ",22.07 L,"Neral, Mumbai",2 BHK Apartment in Gruharaj Royal Regalia
690 ,Ready to move,1 year old,"4,130 ",28.5 L,"Badlapur East, Mumbai",1 BHK Apartment in Thanekar Parkland
680 ,Ready to move,1 year old,"4,147 ",28.2 L,"Badlapur East, Mumbai",1 BHK Apartment in Thanekar Parkland
565 ,Under Construction,Possession by Nov 2021,"3,285 ",18.56 L,"Karjat, Mumbai",2 BHK Apartment in Bright Florance Town
268 ,Under Construction,Possession by Nov 2021,"3,287 ",8.8 L,"Karjat, Mumbai",1 BHK Apartment in Bright Florance Town
316 ,Under Construction,Possession by Nov 2021,"3,307 ",10.45 L,"Karjat, Mumbai",1 BHK Apartment in Bright Florance Town
398 ,Under Construction,Possession by Nov 2021,"3,276 ",13.03 L,"Karjat, Mumbai",1 BHK Apartment in Bright Florance Town
486 ,Under Construction,Possession by Nov 2021,"3,311 ",16.09 L,"Karjat, Mumbai",1 BHK Apartment in Bright Florance Town
414 ,Under Construction,Possession by Nov 2021,"3,263 ",13.5 L,"Karjat, Mumbai",1 BHK Apartment in Bright Florance Town
356 ,Under Construction,Possession by Nov 2021,"3,463 ",12.32 L,"Karjat, Mumbai",1 BHK Apartment in Bright Florance Town
295 ,Under Construction,Possession by Nov 2021,"7,285 ",21.49 L,"Ambernath East, Mumbai",1 BHK Apartment in Prakruti Sparsh
