area,construction_status,per_sqr_ft,price,property_location,title,years
739 ,Under Construction,"19,500 ",1.44 Cr,"Kurla, Mumbai",2 BHK Apartment in Raghav ONE,Possession by Nov 2020
697 ,Under Construction,"19,500 ",1.35 Cr,"Kurla, Mumbai",2 BHK Apartment in Raghav ONE,Possession by Nov 2020
760 ,Under Construction,"19,500 ",1.48 Cr,"Kurla, Mumbai",2 BHK Apartment in Raghav ONE,Possession by Nov 2020
329 ,Under Construction,"5,809 ",19.05 L,"Neral, Mumbai",2 BHK Apartment in Gruharaj Royal Regalia,Possession by Nov 2022
570 ,Under Construction,"5,802 ",33.07 L,"Neral, Mumbai",2 BHK Apartment in Gruharaj Royal Regalia,Possession by Nov 2022
404 ,Under Construction,"5,809 ",23.41 L,"Neral, Mumbai",2 BHK Apartment in Gruharaj Royal Regalia,Possession by Nov 2022
 , , ,  ,,,
298 ,Under Construction,"5,803 ",17.29 L,"Neral, Mumbai",1 BHK Apartment in Gruharaj Royal Regalia,Possession by Nov 2022
332 ,Under Construction,"5,812 ",19.24 L,"Neral, Mumbai",2 BHK Apartment in Gruharaj Royal Regalia,Possession by Nov 2022
381 ,Under Construction,"5,809 ",22.07 L,"Neral, Mumbai",2 BHK Apartment in Gruharaj Royal Regalia,Possession by Nov 2022
690 ,Ready to move,"4,130 ",28.5 L,"Badlapur East, Mumbai",1 BHK Apartment in Thanekar Parkland,1 year old
680 ,Ready to move,"4,147 ",28.2 L,"Badlapur East, Mumbai",1 BHK Apartment in Thanekar Parkland,1 year old
565 ,Under Construction,"3,285 ",18.56 L,"Karjat, Mumbai",2 BHK Apartment in Bright Florance Town,Possession by Nov 2021
268 ,Under Construction,"3,287 ",8.8 L,"Karjat, Mumbai",1 BHK Apartment in Bright Florance Town,Possession by Nov 2021
316 ,Under Construction,"3,307 ",10.45 L,"Karjat, Mumbai",1 BHK Apartment in Bright Florance Town,Possession by Nov 2021
398 ,Under Construction,"3,276 ",13.03 L,"Karjat, Mumbai",1 BHK Apartment in Bright Florance Town,Possession by Nov 2021
486 ,Under Construction,"3,311 ",16.09 L,"Karjat, Mumbai",1 BHK Apartment in Bright Florance Town,Possession by Nov 2021
414 ,Under Construction,"3,263 ",13.5 L,"Karjat, Mumbai",1 BHK Apartment in Bright Florance Town,Possession by Nov 2021
356 ,Under Construction,"3,463 ",12.32 L,"Karjat, Mumbai",1 BHK Apartment in Bright Florance Town,Possession by Nov 2021
295 ,Under Construction,"7,285 ",21.49 L,"Ambernath East, Mumbai",1 BHK Apartment in Prakruti Sparsh,Possession by Nov 2021
262 ,Under Construction,"7,330 ",19.2 L,"Ambernath East, Mumbai",1 BHK Apartment in Prakruti Sparsh,Possession by Nov 2021
297 ,Under Construction,"6,906 ",20.51 L,"Ambernath East, Mumbai",1 BHK Apartment in Prakruti Sparsh,Possession by Nov 2021
280 ,Under Construction,"7,209 ",20.18 L,"Ambernath East, Mumbai",1 BHK Apartment in Prakruti Sparsh,Possession by Nov 2021
